class combined
population/area	coverage	average_hit	pc90
World	391	0.0	0.77
World	392	0.0	0.77
World	393	0.0	0.77
World	394	0.0	0.77
World	395	0.0	0.77
World	396	0.18	0.77
World	397	0.0	0.6
World	398	0.0	0.6
World	399	0.0	0.6
World	400	0.0	0.6
World	401	0.0	0.6
World	402	0.0	0.6
World	403	0.0	0.6
World	404	0.0	0.6
World	405	0.0	0.6
World	406	0.0	0.6
World	407	0.0	0.6
World	408	0.0	0.6
World	409	0.0	0.6
World	410	0.0	0.6
World	411	0.0	0.6
World	412	0.0	0.6
World	413	0.0	0.6
World	414	0.0	0.6
World	415	0.0	0.6
World	416	0.0	0.6
World	417	0.0	0.6
World	418	0.0	0.6
World	419	0.0	0.6
World	420	0.0	0.6
World	421	0.0	0.6
World	422	0.0	0.6
World	423	0.0	0.6
World	424	0.0	0.6
World	425	0.1	0.6
World	426	0.28	0.5
World	427	0.0	0.22
World	428	0.04	0.22
World	429	0.0	0.18
World	430	0.0	0.18
World	431	0.0	0.18
World	432	0.0	0.18
World	433	0.0	0.18
World	434	0.0	0.18
World	435	0.0	0.18
World	436	0.0	0.18
World	437	0.0	0.18
World	438	0.0	0.18
World	439	0.0	0.18
World	440	0.0	0.18
World	441	0.0	0.18
World	442	0.0	0.18
World	443	0.0	0.18
World	444	0.0	0.18
World	445	0.0	0.18
World	446	0.0	0.18
World	447	0.0	0.18
World	448	0.0	0.18
World	449	0.0	0.18
World	450	0.0	0.18
World	451	0.0	0.18
World	452	0.0	0.18
World	453	0.0	0.18
World	454	0.0	0.18
World	455	0.0	0.18
World	456	0.0	0.18
World	457	0.0	0.18
World	458	0.0	0.18
World	459	0.0	0.18
World	460	0.0	0.18
World	461	0.0	0.18
World	462	0.0	0.18
World	463	0.0	0.18
World	464	0.0	0.18
World	465	0.0	0.18
World	466	0.0	0.18
World	467	0.0	0.18
World	468	0.0	0.18
World	469	0.0	0.18
World	470	0.0	0.18
World	471	0.0	0.18
World	472	0.0	0.18
World	473	0.0	0.18
World	474	0.0	0.18
World	475	0.18	0.18


