class combined
population/area	coverage	average_hit	pc90
World	444	0.0	23.95
World	445	0.0	23.95
World	446	0.0	23.95
World	447	0.0	23.95
World	448	0.0	23.95
World	449	0.0	23.95
World	450	0.0	23.95
World	451	0.0	23.95
World	452	0.0	23.95
World	453	0.0	23.95
World	454	0.0	23.95
World	455	0.0	23.95
World	456	0.0	23.95
World	457	0.0	23.95
World	458	0.0	23.95
World	459	0.0	23.95
World	460	0.0	23.95
World	461	0.0	23.95
World	462	0.0	23.95
World	463	0.0	23.95
World	464	0.0	23.95
World	465	0.0	23.95
World	466	0.0	23.95
World	467	0.0	23.95
World	468	0.0	23.95
World	469	0.0	23.95
World	470	0.0	23.95
World	471	0.0	23.95
World	472	0.0	23.95
World	473	0.07	23.95
World	474	0.0	23.88
World	475	0.0	23.88
World	476	0.0	23.88
World	477	0.0	23.88
World	478	0.0	23.88
World	479	0.27	23.88
World	480	0.0	23.61
World	481	0.0	23.61
World	482	0.0	23.61
World	483	0.0	23.61
World	484	0.0	23.61
World	485	0.0	23.61
World	486	0.29	23.61
World	487	0.0	23.32
World	488	0.0	23.32
World	489	0.0	23.32
World	490	0.22	23.32
World	491	0.0	23.1
World	492	1.15	23.1
World	493	0.0	21.95
World	494	0.0	21.95
World	495	0.0	21.95
World	496	0.0	21.95
World	497	0.35	21.95
World	498	0.0	21.59
World	499	0.0	21.59
World	500	0.0	21.59
World	501	0.0	21.59
World	502	0.0	21.59
World	503	0.0	21.59
World	504	0.0	21.59
World	505	0.0	21.59
World	506	0.0	21.59
World	507	0.0	21.59
World	508	0.0	21.59
World	509	0.18	21.59
World	510	0.0	21.42
World	511	0.0	21.42
World	512	0.0	21.42
World	513	0.0	21.42
World	514	0.0	21.42
World	515	0.69	21.42
World	516	0.0	20.73
World	517	0.0	20.73
World	518	0.0	20.73
World	519	0.0	20.73
World	520	0.0	20.73
World	521	0.0	20.73
World	522	0.0	20.73
World	523	0.0	20.73
World	524	0.0	20.73
World	525	0.0	20.73
World	526	0.0	20.73
World	527	0.0	20.73
World	528	0.0	20.73
World	529	0.0	20.73
World	530	0.0	20.73
World	531	0.0	20.73
World	532	0.0	20.73
World	533	0.0	20.73
World	534	0.0	20.73
World	535	0.0	20.73
World	536	0.0	20.73
World	537	0.0	20.73
World	538	0.0	20.73
World	539	9.08	20.73
World	540	0.61	11.65
World	541	0.0	11.04
World	542	0.0	11.04
World	543	0.0	11.04
World	544	0.0	11.04
World	545	0.0	11.04
World	546	0.0	11.04
World	547	0.0	11.04
World	548	0.0	11.04
World	549	0.0	11.04
World	550	0.0	11.04
World	551	0.0	11.04
World	552	0.0	11.04
World	553	0.08	11.04
World	554	0.0	10.97
World	555	0.0	10.97
World	556	0.0	10.97
World	557	0.0	10.97
World	558	0.0	10.97
World	559	0.0	10.97
World	560	0.0	10.97
World	561	0.0	10.97
World	562	0.0	10.97
World	563	0.0	10.97
World	564	0.0	10.97
World	565	0.0	10.97
World	566	0.0	10.97
World	567	0.0	10.97
World	568	0.0	10.97
World	569	0.0	10.97
World	570	0.0	10.97
World	571	0.0	10.97
World	572	0.18	10.97
World	573	0.0	10.78
World	574	0.0	10.78
World	575	0.0	10.78
World	576	0.0	10.78
World	577	0.0	10.78
World	578	0.0	10.78
World	579	0.0	10.78
World	580	0.0	10.78
World	581	0.0	10.78
World	582	0.0	10.78
World	583	0.0	10.78
World	584	0.0	10.78
World	585	0.0	10.78
World	586	0.0	10.78
World	587	0.0	10.78
World	588	0.0	10.78
World	589	0.0	10.78
World	590	0.0	10.78
World	591	0.0	10.78
World	592	0.0	10.78
World	593	0.0	10.78
World	594	0.0	10.78
World	595	0.0	10.78
World	596	0.0	10.78
World	597	0.0	10.78
World	598	0.0	10.78
World	599	0.0	10.78
World	600	0.0	10.78
World	601	0.0	10.78
World	602	0.0	10.78
World	603	0.0	10.78
World	604	0.0	10.78
World	605	0.0	10.78
World	606	0.0	10.78
World	607	0.0	10.78
World	608	0.0	10.78
World	609	0.65	10.78
World	610	0.15	10.13
World	611	0.0	9.99
World	612	0.0	9.99
World	613	0.0	9.99
World	614	0.0	9.99
World	615	0.0	9.99
World	616	1.04	9.99
World	617	0.0	8.95
World	618	0.0	8.95
World	619	0.0	8.95
World	620	0.0	8.95
World	621	0.0	8.95
World	622	0.0	8.95
World	623	0.63	8.95
World	624	0.0	8.32
